num_zones,num_iterations,occSch,hc,cc,bb,fn,lt,eq,RM4534_sensor,RM4532_sensor,RM4530_sensor,RM4528_sensor,RM4527_sensor,RM4525_sensor,RM4523_sensor,RM4522_sensor,RM4521_sensor,RM4514D_sensor,RM4514C_sensor,RM4514_sensor,RM4514B_sensor,RM4514A_sensor,RM4520_sensor,RM4524_sensor,RM4526_sensor,RM4535_sensor,RM4533_sensor,RM4537_sensor,RM4536_sensor,RM4539_sensor,RM4541_sensor,RM4543_sensor,RM4513_sensor,RM4500_sensor,RM4534_co2,RM4532_co2,RM4530_co2,RM4528_co2,RM4527_co2,RM4525_co2,RM4523_co2,RM4522_co2,RM4521_co2,RM4514D_co2,RM4514C_co2,RM4514_co2,RM4514B_co2,RM4514A_co2,RM4520_co2,RM4524_co2,RM4526_co2,RM4535_co2,RM4533_co2,RM4537_co2,RM4536_co2,RM4539_co2,RM4541_co2,RM4543_co2,RM4513_co2,RM4500_co2,RM4534_Tza,RM4532_Tza,RM4530_Tza,RM4528_Tza,RM4527_Tza,RM4525_Tza,RM4523_Tza,RM4522_Tza,RM4521_Tza,RM4514D_Tza,RM4514C_Tza,RM4514_Tza,RM4514B_Tza,RM4514A_Tza,RM4520_Tza,RM4524_Tza,RM4526_Tza,RM4535_Tza,RM4533_Tza,RM4537_Tza,RM4536_Tza,RM4539_Tza,RM4541_Tza,RM4543_Tza,RM4513_Tza,RM4500_Tza
1,5,1,39.334329,141.6818081,121.9415294,64.7408864,52.03923996,53.7948,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.75,0,0,0,0,0,0,255,30,231,141.5,216.25,332,36.5,197,44.5,63.25,15,334.25,112.75,437.5,716.5,652,176.5,89.5,748.5,2167,262.5,589.25,349.75,383.5,343.25,0
1,5,2,47.23612979,143.4453952,127.4308866,65.32677391,49.54538951,47.034,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,169.25,270.5,191,15.75,199.75,468.25,265,179,52.75,65,39.75,431,85.75,488.75,53.25,113.75,89.25,108.5,1158,2166.25,465.25,601.25,686.5,102.5,439.5,0
1,5,3,61.43315433,165.3657705,136.9242389,69.79454917,54.64544429,58.09212,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.25,279.25,76.75,6.5,127.25,426.75,400.75,29.5,192.5,14.75,40,193.5,12.5,46,413.75,440,533.5,46.5,2285.25,260.25,516.25,193.75,389.25,332.5,645,0
1,5,4,51.02205349,163.938307,131.3364527,68.2268876,59.64946351,77.95764,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,231.25,321,15.25,275.25,170.25,146.75,166.5,188.5,65.75,193.75,140.25,111.75,164,553,308,454.5,16.75,47.25,1123,1166,881.75,365.25,243.25,324,342,0
1,5,5,70.96626553,184.0432246,135.8972113,73.0413733,56.52316742,112.51224,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,224.5,178,6.75,183.25,183.75,217.75,407.25,57,15.25,14.5,142.5,126,116.5,81.5,509.75,175.5,446.25,448.5,590.75,635,1955.25,828,559,162.25,609.5,0
1,5,6,70.5155964,172.2695682,144.3958934,73.40301074,55.66727994,65.53116,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.75,170.5,57,184.25,193.5,454.25,86.5,275.5,15.75,257.75,152.25,69,34.25,555.75,439.5,501.25,459.25,432,2340.25,263.75,512.75,1278.25,265.5,133.75,345.25,0
1,5,7,58.6232663,161.6675855,144.9376188,71.22465928,47.69887131,45.95184,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,20,69.25,251.75,6.25,179.75,330,303.75,135.75,215,218.5,33.25,111,123.75,91.25,577.25,86,352.5,47,743.25,1078.75,266.5,801,609.75,375.75,268.5,0
1,5,8,68.28842186,170.2289168,150.990974,74.60668897,49.44895608,42.8895,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,190.75,55,15.5,161.25,795.75,155,66.5,46,187,14.75,196,161.25,15,192.75,106.5,463,48,866,306,488.25,197.5,345.5,459.25,357.5,0
1,5,9,54.52902705,156.0408972,132.7911078,69.67555145,51.36563081,72.50256,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.25,177.25,16.5,203,13,450.5,338,238,64.5,291.25,157.5,438.75,40.5,378,416.75,451.25,56.25,829.75,861.5,597.25,936.25,642.75,371.75,264.25,489.25,0
1,5,10,57.48743337,167.5391256,147.1171077,72.07827264,50.38159485,56.42838,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5,0,0,0,0,0,0,20.75,232,38,70.5,180.5,331,94,57.25,193.75,61.75,10.5,195,106.5,480.5,653,323.75,827.75,623.75,680.75,1022,520.75,293.25,412,443.25,648.5,0
