Timestamp,203_CO2,204_CO2,111_CO2,308_CO2,307_CO2,205_CO2,310_CO2,202_CO2,112_CO2,206_CO2,306_CO2,305_CO2,105_CO2,201_CO2,109_CO2,107_CO2,102_CO2,311_CO2,301_CO2,104_CO2
2019-07-12 12:00,770.6959839,783.8827515,530.8912964,635.8974609,830.7692261,821.0012207,591.9414063,802.930481,648.5958862,621.7338257,617.8265991,673.0158691,465.934082,848.8400269,600.732605,584.6153564,590.7692261,672.0390625,391.721588,557.7533569
2019-07-12 13:00,762.8815918,778.0219727,526.9841309,637.8510742,829.7924194,831.7460327,585.5921631,801.9536133,644.6886597,642.7350464,617.8265991,673.0158691,457.6312561,846.8864746,600.732605,581.6849976,577.777771,663.7362671,377.0695802,555.7997437
2019-07-12 14:00,788.5619507,808.7241821,558.7301636,669.5970459,864.9572144,834.6764526,625.6409912,831.7460327,651.0378418,657.586731,617.8265991,673.0158691,492.0753174,872.7716675,600.732605,589.4110718,625.5361328,697.9242554,472.3077698,597.8021851
2019-07-12 15:00,815.6288452,837.6068115,592.6734619,687.6679077,884.9817505,854.7008667,684.7374878,831.7460327,681.8070679,706.7155151,617.8265991,673.0158691,517.7045288,883.0281372,600.732605,609.0354004,637.8167725,715.9951172,538.2417602,618.8034058
2019-07-12 16:00,841.0256348,862.0268555,707.6922607,732.600708,915.7509155,875.7020874,681.2210083,859.5848999,726.7399292,710.6226807,617.8265991,673.0158691,537.5978394,911.638855,600.732605,621.7338257,660.7918091,729.6703491,601.2455138,617.8265991
2019-07-12 17:00,832.7228394,852.7472534,584.5482788,721.855957,898.6569214,866.9108276,633.9438477,853.7241211,666.7009277,676.9230957,617.8265991,673.0158691,529.9816284,897.8112183,600.732605,638.8278198,646.6422729,715.0183105,558.7546082,613.9193726
2019-07-12 18:00,803.9072266,826.8620605,554.822998,687.6679077,867.8876953,846.8864746,607.6507568,823.9315796,635.8862305,646.6422729,617.8265991,673.0158691,505.9829102,867.8876953,600.732605,622.7106323,621.7338257,694.0170898,484.0293578,589.987793
2019-07-12 19:00,786.8131714,800.9768677,548.9445801,675.9462891,849.8168945,837.6068115,592.9182129,800.9768677,624.6641846,626.6177979,617.8265991,673.0158691,484.0048828,847.8632813,600.732605,607.5701904,606.5934448,679.8535156,448.7614136,565.5678101
2019-07-12 20:00,769.7191772,782.9059448,527.9609375,666.666626,845.909668,816.6056519,582.6617432,783.8827515,604.6398315,619.5241699,617.8265991,673.0158691,467.8876953,835.6531982,600.732605,589.987793,596.8254395,667.6434326,409.3040162,551.8925781
2019-07-12 21:00,769.7191772,780.9523315,520.6349487,663.7362671,836.6300659,816.6056519,570.9401855,786.8131714,610.012207,609.102478,617.8265991,673.0158691,468.864502,834.7039185,600.732605,575.8241577,590.9645996,659.8290405,407.8144226,549.9389648
2019-07-12 22:00,760.6079102,775.5799561,511.8437195,724.7863159,841.0256348,808.7912598,565.5678101,785.8363647,607.5701904,597.8021851,617.8265991,673.0158691,459.5848694,832.7228394,600.732605,578.7545776,593.8950195,659.8290405,405.8608093,551.8925781
2019-07-12 23:00,771.6727905,782.9059448,515.7509155,718.9255371,845.909668,800,573.8705444,783.8827515,607.5701904,601.7094116,617.8265991,673.0158691,458.6080627,832.7228394,600.732605,578.7545776,594.6669922,666.666626,404.8840027,549.9389648
2019-07-13 0:00,770.6959839,783.8827515,508.9133301,737.9731445,856.6325073,802.930481,581.6849976,787.789978,612.942627,599.7557983,617.8265991,673.0158691,464.9572754,830.7692261,600.732605,575.8241577,593.8950195,679.8535156,408.7911987,555.7997437
2019-07-13 1:00,773.6264038,788.7667847,516.7277222,708.6690674,868.8644409,807.31427,594.8718262,786.8131714,611.9658203,610.012207,617.8265991,673.0158691,468.864502,840.0488892,600.732605,578.7545776,603.6630249,684.7374878,410.744812,561.6605835
2019-07-13 2:00,778.0219727,795.6043701,517.7045288,723.8095093,871.7949219,810.7213745,594.8718262,791.6971436,616.8497925,619.7802124,617.8265991,673.0158691,474.7252808,844.9328613,600.732605,583.6385498,610.012207,689.621521,411.7216187,569.9633789
2019-07-13 3:00,788.7667847,804.8840332,513.7973022,748.7179565,878.6324463,815.6288452,600.732605,794.6275635,615.8729858,615.8729858,617.8265991,673.0158691,475.7020874,849.8168945,600.732605,579.7313843,614.8961792,682.7838745,416.6056213,574.8473511
2019-07-13 4:00,788.7667847,810.744873,521.5941772,773.6264038,891.8192749,825.2285156,607.5701904,801.9536133,621.7338257,631.0134277,617.8265991,673.0158691,490.8424988,851.7705078,600.732605,582.6274414,619.7802124,688.6447144,417.6361389,576.8009644
2019-07-13 5:00,796.5811768,822.4781494,526.9841309,736.0195313,908.5132446,824.9084473,617.8265991,806.8552246,624.6641846,635.8974609,617.8265991,673.0158691,491.8192749,856.65448,600.732605,588.0341797,625.2409058,699.8778687,423.9041443,589.987793
2019-07-13 6:00,803.9072266,821.0012207,525.0218506,715.9951172,898.6569214,833.8634644,614.4194946,813.6752319,627.5946045,634.9206543,617.8265991,673.0158691,500.6105042,863.0036621,600.732605,595.8486328,628.5714111,701.6266479,423.9316406,589.0109863
2019-07-13 7:00,802.930481,827.6290283,552.8693848,703.7850952,876.6251831,841.0256348,600.6015015,815.6288452,643.711853,635.8974609,617.8265991,673.0158691,499.6336975,863.9804688,600.732605,589.987793,630.0366211,686.6911011,433.699646,590.9645996
